Row ID,Sales,Forecast(Sales),Lower Confidence Bound(Sales),Upper Confidence Bound(Sales)
1,261.96,,,
2,731.94,,,
3,14.62,,,
4,957.5775,,,
5,22.368,,,
6,48.86,,,
7,7.28,,,
8,907.152,,,
9,18.504,,,
10,114.9,,,
11,1706.184,,,
12,911.424,,,
13,15.552,,,
14,407.976,,,
15,68.81,,,
16,2.544,,,
17,665.88,,,
18,55.5,,,
19,8.56,,,
20,213.48,,,
21,22.72,,,
22,19.46,,,
23,60.34,,,
24,71.372,,,
25,1044.63,,,
26,11.648,,,
27,90.57,,,
28,3083.43,,,
29,9.618,,,
30,124.2,,,
31,3.264,,,
32,86.304,,,
33,6.858,,,
34,15.76,,,
35,29.472,,,
36,1097.544,,,
37,190.92,,,
38,113.328,,,
39,532.3992,,,
40,212.058,,,
41,371.168,,,
42,147.168,,,
43,77.88,,,
44,95.616,,,
45,45.98,,,
46,17.46,,,
47,211.96,,,
48,45,,,
49,21.8,,,
50,38.22,,,
51,75.18,,,
52,6.16,,,
53,89.99,,,
54,15.26,,,
55,1029.95,,,
56,208.56,,,
57,32.4,,,
58,319.41,,,
59,14.56,,,
60,30,,,
61,48.48,,,
62,1.68,,,
63,13.98,,,
64,25.824,,,
65,146.73,,,
66,79.76,,,
67,213.115,,,
68,1113.024,,,
69,167.968,,,
70,75.88,,,
71,4.616,,,
72,19.05,,,
73,831.936,,,
74,97.04,,,
75,72.784,,,
76,1.248,,,
77,9.708,,,
78,27.24,,,
79,19.3,,,
80,208.16,,,
81,16.74,,,
82,14.9,,,
83,21.39,,,
84,200.984,,,
85,230.376,,,
86,301.96,,,
87,19.99,,,
88,6.16,,,
89,158.368,,,
90,20.1,,,
91,73.584,,,
92,6.48,,,
93,12.96,,,
94,53.34,,,
95,32.96,,,
96,5.682,,,
97,96.53,,,
98,51.312,,,
99,77.88,,,
100,64.624,,,
101,95.976,,,
102,1.788,,,
103,23.92,,,
104,238.896,,,
105,102.36,,,
106,36.882,,,
107,74.112,,,
108,27.992,,,
109,3.304,,,
110,339.96,,,
111,41.96,,,
112,75.96,,,
113,27.24,,,
114,40.096,,,
115,4.72,,,
116,23.976,,,
117,130.464,,,
118,787.53,,,
119,157.794,,,
120,47.04,,,
121,30.84,,,
122,226.56,,,
123,115.02,,,
124,68.04,,,
125,600.558,,,
126,617.7,,,
127,2.388,,,
128,243.992,,,
129,81.424,,,
130,238.56,,,
131,59.97,,,
132,78.304,,,
133,21.456,,,
134,20.04,,,
135,35.44,,,
136,11.52,,,
137,4.02,,,
138,76.176,,,
139,65.88,,,
140,43.12,,,
141,82.8,,,
142,8.82,,,
143,10.86,,,
144,143.7,,,
145,839.43,,,
146,671.93,,,
147,93.888,,,
148,384.45,,,
149,149.97,,,
150,1951.84,,,
151,171.55,,,
152,157.92,,,
153,203.184,,,
154,58.38,,,
155,105.52,,,
156,80.88,,,
157,6.63,,,
158,457.568,,,
159,14.62,,,
160,944.93,,,
161,5.98,,,
162,54.384,,,
163,28.4,,,
164,27.68,,,
165,9.936,,,
166,8159.952,,,
167,275.928,,,
168,1740.06,,,
169,32.064,,,
170,177.98,,,
171,143.976,,,
172,20.94,,,
173,110.96,,,
174,340.144,,,
175,52.448,,,
176,20.16,,,
177,97.264,,,
178,396.802,,,
179,15.88,,,
180,3.28,,,
181,24.816,,,
182,408.744,,,
183,503.96,,,
